,N. parvum,X. sp.,descriptions
PF06985,56,127,Heterokaryon incompatibility protein (HET)
PF00106,147,146,short chain dehydrogenase
PF00109,23,35,"Beta-ketoacyl synthase, N-terminal domain"
PF00550,40,55,Phosphopantetheine attachment site
PF00698,23,39,Acyl transferase domain
PF02801,28,38,"Beta-ketoacyl synthase, C-terminal domain"
PF07859,24,20,alpha/beta hydrolase fold
PF08241,70,63,Methyltransferase domain
PF08242,41,44,Methyltransferase domain
PF13489,65,50,Methyltransferase domain
PF13649,65,57,Methyltransferase domain
PF13847,33,35,Methyltransferase domain
PF14765,21,34,Polyketide synthase dehydratase
PF16073,7,6,Starter unit:ACP transacylase in aflatoxin biosynthesis
PF18558,1,4,Helix-turn-helix domain
PF20434,10,7,BD-FAE
PF03171,17,15,2OG-Fe(II) oxygenase superfamily
PF14226,18,14,non-haem dioxygenase in morphine synthesis N-terminal
PF01370,46,55,NAD dependent epimerase/dehydratase family
PF07993,25,24,Male sterility protein
PF00067,132,122,Cytochrome P450
PF08659,115,105,KR domain
PF13561,134,110,Enoyl-(Acyl carrier protein) reductase
PF04909,10,3,Amidohydrolase
PF16197,15,21,Ketoacyl-synthetase C-terminal extension
PF00172,95,65,Fungal Zn(2)-Cys(6) binuclear cluster domain
PF04082,75,60,Fungal specific transcription factor domain
PF00005,43,31,ABC transporter
PF01061,13,5,ABC-2 type transporter
PF06422,9,4,CDR ABC transporter
PF05368,36,21,NmrA-like family
PF13460,51,24,NAD(P)H-binding
PF01073,16,12,3-beta hydroxysteroid dehydrogenase/isomerase family
PF16363,6,5,"GDP-mannose 4,6 dehydratase"
PF03702,2,1,Anhydro-N-acetylmuramic acid kinase
PF00732,28,18,GMC oxidoreductase
PF05199,33,23,GMC oxidoreductase
PF07992,35,34,Pyridine nucleotide-disulphide oxidoreductase
PF13450,45,35,NAD(P)-binding Rossmann-like domain
PF13738,13,15,Pyridine nucleotide-disulphide oxidoreductase
PF00984,3,2,"UDP-glucose/GDP-mannose dehydrogenase family, central domain"
PF03446,13,12,NAD binding domain of 6-phosphogluconate dehydrogenase
PF00324,34,18,Amino acid permease
PF13520,36,22,Amino acid permease
PF15892,1,1,BNR repeat-containing family member
PF00083,84,38,Sugar (and other) transporter
PF00581,10,4,Rhodanese-like domain
PF03914,3,2,CBF/Mak21 family
PF07540,1,0,Nucleolar complex-associated protein
PF03657,1,0,UPF0113 PUA domain
PF17833,1,0,UPF0113 Pre-PUA domain
PF00454,8,8,Phosphatidylinositol 3- and 4-kinase
PF11522,1,0,Yeast phosphatidylinositol-4-OH kinase Pik1
PF08574,1,1,Transcription factor Iwr1
PF01733,1,1,Nucleoside transporter
PF01532,9,9,Glycosyl hydrolase family 47
PF08612,1,0,TATA-binding related factor (TRF) of subunit 20 of Mediator complex
PF13472,6,17,GDSL-like Lipase/Acylhydrolase family
PF03807,5,7,NADP oxidoreductase coenzyme F420-dependent
PF14748,2,1,Pyrroline-5-carboxylate reductase dimerisation
PF04818,4,5,CID domain
PF12243,1,1,CTD kinase subunit gamma CTK3
PF12350,1,1,CTD kinase subunit gamma CTK3 C-terminus
PF00542,1,1,Ribosomal protein L7/L12 C-terminal domain
PF16320,1,1,Ribosomal protein L7/L12 dimerisation domain
PF07726,1,1,ATPase family associated with various cellular activities (AAA)
PF07728,17,11,AAA domain (dynein-related subfamily)
PF17865,1,1,Midasin AAA lid domain
PF17867,1,1,Midasin AAA lid domain
PF00069,92,124,Protein kinase domain
PF07714,92,111,Protein tyrosine and serine/threonine kinase
PF10685,2,0,Stress-induced bacterial acidophilic repeat motif
PF00071,27,31,Ras family
PF00149,18,23,Calcineurin-like phosphoesterase
PF01284,4,3,Membrane-associating domain
PF00613,2,2,"Phosphoinositide 3-kinase family, accessory domain (PIK domain)"
PF00792,1,1,Phosphoinositide 3-kinase C2
PF08743,1,1,Nse4 C-terminal
PF15412,1,1,Binding domain of Nse4/EID3 to Nse3-MAGE
PF04889,2,1,Cwf15/Cwc15 cell cycle control protein
PF01138,4,6,"3' exoribonuclease family, domain 1"
PF03725,1,1,"3' exoribonuclease family, domain 2"
PF10257,1,1,Retinoic acid induced 16-like protein
PF19314,1,1,Family of unknown function (DUF5917)
PF00026,21,16,Eukaryotic aspartyl protease
PF03055,3,2,Retinal pigment epithelial membrane protein
PF03371,1,1,PRP38 family
PF01764,5,3,Lipase (class 3)
PF10382,1,1,Protein of unknown function (DUF2439)
