,N. parvum,X. sp.,descriptions
IPR010730,56,128,Heterokaryon incompatibility
IPR002347,144,137,Short-chain dehydrogenase/reductase SDR
IPR036291,406,366,NAD(P)-binding domain superfamily
IPR001227,29,41,Acyl transferase domain superfamily
IPR001375,5,6,"Peptidase S9, prolyl oligopeptidase, catalytic domain"
IPR006162,26,36,Phosphopantetheine attachment site
IPR009081,44,62,Phosphopantetheine binding ACP domain
IPR013094,23,20,Alpha/beta hydrolase fold-3
IPR013217,14,20,Methyltransferase type 12
IPR014030,29,41,"Beta-ketoacyl synthase, N-terminal"
IPR014031,30,40,"Beta-ketoacyl synthase, C-terminal"
IPR014043,28,40,Acyl transferase
IPR016035,43,55,Acyl transferase/acyl hydrolase/lysophospholipase
IPR016036,22,37,"Malonyl-CoA ACP transacylase, ACP-binding"
IPR016039,38,51,Thiolase-like
IPR020806,30,42,"Polyketide synthase, phosphopantetheine-binding domain"
IPR020807,23,37,"Polyketide synthase, dehydratase domain"
IPR020841,31,43,"Polyketide synthase, beta-ketoacyl synthase domain"
IPR029058,226,223,Alpha/Beta hydrolase fold
IPR029063,152,165,S-adenosyl-L-methionine-dependent methyltransferase superfamily
IPR032088,8,8,Starter unit:ACP transacylase
IPR036736,43,60,ACP-like superfamily
IPR041068,1,4,"Methyltransferase, fungal type, helix-turn-helix domain"
IPR042104,22,37,"Polyketide synthase, dehydratase domain superfamily"
IPR005123,19,23,Oxoglutarate/iron-dependent dioxygenase
IPR026992,18,15,Non-haem dioxygenase N-terminal domain
IPR027443,21,21,Isopenicillin N synthase-like superfamily
IPR044861,17,15,"Isopenicillin N synthase-like, Fe(2+) 2OG dioxygenase domain"
IPR013120,14,22,"Fatty acyl-coenzyme A reductase, NAD-binding domain"
IPR042099,56,42,"ANL, N-terminal domain"
IPR011701,231,154,Major facilitator superfamily
IPR020846,241,160,Major facilitator superfamily domain
IPR036259,377,246,MFS transporter superfamily
IPR001128,160,166,Cytochrome P450
IPR002401,86,91,"Cytochrome P450, E-class, group I"
IPR017972,86,82,"Cytochrome P450, conserved site"
IPR036396,166,175,Cytochrome P450 superfamily
IPR006680,26,15,Amidohydrolase-related
IPR032465,9,1,2-amino-3-carboxymuconate-6-semialdehyde decarboxylase
IPR032466,38,27,Metal-dependent hydrolase
IPR011051,30,25,RmlC-like cupin domain superfamily
IPR014710,32,28,RmlC-like jelly roll fold
IPR013968,18,31,"Polyketide synthase, ketoreductase domain"
IPR018201,17,25,"Beta-ketoacyl synthase, active site"
IPR032821,15,24,"Polyketide synthase, C-terminal extension"
IPR001138,117,85,Zn(2)Cys(6) fungal-type DNA-binding domain
IPR007219,97,78,"Transcription factor domain, fungi"
IPR036864,110,79,Zn(2)-C6 fungal-type DNA-binding domain superfamily
IPR003439,45,35,"ABC transporter-like, ATP-binding domain"
IPR003593,102,96,AAA+ ATPase domain
IPR010929,9,4,CDR ABC transporter
IPR013525,14,5,"ABC-2 type transporter, transmembrane domain"
IPR017871,37,28,"ABC transporter-like, conserved site"
IPR027417,403,464,P-loop containing nucleoside triphosphate hydrolase
IPR034003,9,3,"ATP-binding cassette transporter, PDR-like subfamily G, domain 2"
IPR043926,10,4,ABC transporter family G domain
IPR001509,23,15,NAD-dependent epimerase/dehydratase
IPR005338,2,1,Anhydro-N-acetylmuramic acid kinase
IPR043129,39,38,"ATPase, nucleotide binding domain"
IPR000172,37,25,"Glucose-methanol-choline oxidoreductase, N-terminal"
IPR007867,36,25,"Glucose-methanol-choline oxidoreductase, C-terminal"
IPR012132,35,20,Glucose-methanol-choline oxidoreductase
IPR036188,200,166,FAD/NAD(P)-binding domain superfamily
IPR020946,18,9,Flavin monooxygenase-like
IPR001732,3,1,"UDP-glucose/GDP-mannose dehydrogenase, N-terminal"
IPR008927,27,21,"6-phosphogluconate dehydrogenase-like, C-terminal domain superfamily"
IPR014026,3,2,"UDP-glucose/GDP-mannose dehydrogenase, dimerisation"
IPR017476,3,1,UDP-glucose/GDP-mannose dehydrogenase
IPR028359,2,0,UDP-N-acetyl-D-mannosamine/glucosamine dehydrogenase
IPR036220,3,1,"UDP-glucose/GDP-mannose dehydrogenase, C-terminal domain superfamily"
IPR004835,9,8,Chitin synthase
IPR002293,20,12,Amino acid/polyamine transporter I
IPR020904,62,46,"Short-chain dehydrogenase/reductase, conserved site"
IPR005828,91,50,"Major facilitator, sugar transporter-like"
IPR000644,7,5,CBS domain
IPR001807,4,3,"Chloride channel, voltage gated"
IPR014743,4,3,"Chloride channel, core"
IPR046342,10,8,CBS domain superfamily
IPR001763,10,6,Rhodanese-like domain
IPR036873,10,6,Rhodanese-like domain superfamily
IPR005612,3,2,CCAAT-binding factor
IPR011501,1,0,"Nucleolar complex-associated protein 3, N-terminal"
IPR016024,120,113,Armadillo-type fold
IPR016903,1,0,Nucleolar complex-associated protein 3
IPR002478,4,2,PUA domain
IPR005155,1,0,"UPF0113, PUA domain"
IPR015947,11,8,PUA-like superfamily
IPR016686,1,0,"Ribosome biogenesis factor, NIP7"
IPR036974,3,1,PUA domain superfamily
IPR040598,1,0,"60S ribosome subunit biogenesis protein NIP7, pre-PUA domain"
IPR000403,8,8,"Phosphatidylinositol 3-/4-kinase, catalytic domain"
IPR001263,3,2,"Phosphoinositide 3-kinase, accessory (PIK) domain"
IPR011009,140,232,Protein kinase-like domain superfamily
IPR015433,3,3,Phosphatidylinositol kinase
IPR018936,6,6,"Phosphatidylinositol 3/4-kinase, conserved site"
IPR021601,1,0,"Phosphatidylinositol 4-kinase, Pik1, fungi"
IPR036940,7,7,"Phosphatidylinositol 3-/4-kinase, catalytic domain superfamily"
IPR013883,1,1,Transcription factor Iwr1 domain
IPR040150,1,1,RNA polymerase II nuclear localization protein Iwr1
IPR002259,1,1,Equilibrative nucleoside transporter
IPR001382,9,10,Glycoside hydrolase family 47
IPR012341,32,34,Six-hairpin glycosidase-like superfamily
IPR036026,9,10,Seven-hairpin glycosidases
IPR013921,1,0,"Mediator complex, subunit Med20"
IPR013830,6,17,SGNH hydrolase-type esterase domain
IPR036514,12,24,SGNH hydrolase superfamily
